Name,Trades,WR,Avg PnL,Return,CAGR,Max DD,Sharpe,PF,Exposure
Buy & Hold,1,100.0,21.69818801792158,21.69818801792158,180.3764857788872,-7.234894087788368,4.187895183725265,inf,100.0
VWAP Reversion,205,34.63414634146341,-0.047962226465606626,-6.732901472701101,-30.645531395227998,-6.237974055672913,-8.949206183962044,0.6907215705109494,68.26694803481931
ORB,278,46.043165467625904,0.027408594801623488,7.4717017193298005,45.98026893479601,-4.554802790100954,1.7108595215817373,1.0760369301506638,389.0002637826431
Gap Fill,112,23.214285714285715,-0.06992782863066963,-6.502191109364105,-29.740100358379717,-6.502191109364109,-13.22226628848183,0.5776576466023389,25.059351094697966
CD Divergence,101,30.693069306930692,-0.04301066074763888,-3.2920728609640975,-16.11662577214561,-3.0817728167652825,-7.259929495706963,0.7337265625131677,34.68741756792403
VWAP Pullback,2,50.0,0.1851380152198434,0.3640331400583534,1.92601668611867,-0.6263822388791418,8.870990938284162,1.5911343065893193,0.474808757583751
Institutional V3,32,37.5,-0.05832765922342796,-0.7540951084492207,-3.8960743303062984,-2.6466042036134563,-5.241858821899895,0.8046781205591504,17.17225006594566
